datetime,hour,day_of_week,is_weekend,service_Cryotherapy,service_Infrared Sauna/Ice bath (45 mins),service_Infrared Sauna/Ice bath (90 mins),service_Premium Suite (45 mins),service_Premium Suite (90 mins),room_Cryotherapy Suite.,room_Infrared Suite.,room_Premium Suite.,Booked
2025-10-27 08:00:00,8,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 08:00:00,8,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 08:00:00,8,0,0,False,False,False,False,True,False,False,True,0
2025-10-27 08:00:00,8,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 08:00:00,8,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 08:00:00,8,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 08:00:00,8,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 08:00:00,8,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 08:00:00,8,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 08:00:00,8,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 08:00:00,8,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 08:00:00,8,0,0,False,False,False,False,True,False,False,True,0
2025-10-27 08:00:00,8,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 08:00:00,8,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 08:00:00,8,0,0,False,False,False,False,True,False,False,True,0
2025-10-27 09:00:00,9,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 09:00:00,9,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 09:00:00,9,0,0,True,False,False,False,False,True,False,False,1
2025-10-27 09:00:00,9,0,0,True,False,False,False,False,True,False,False,1
2025-10-27 09:00:00,9,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 09:00:00,9,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 09:00:00,9,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 09:00:00,9,0,0,False,False,False,False,True,False,False,True,0
2025-10-27 09:00:00,9,0,0,False,False,False,False,True,False,False,True,0
2025-10-27 09:00:00,9,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 09:00:00,9,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 09:00:00,9,0,0,True,False,False,False,False,True,False,False,1
2025-10-27 09:00:00,9,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 09:00:00,9,0,0,False,False,False,False,True,False,False,True,0
2025-10-27 09:00:00,9,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 10:00:00,10,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 10:00:00,10,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 10:00:00,10,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 10:00:00,10,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 10:00:00,10,0,0,False,False,False,False,True,False,False,True,1
2025-10-27 10:00:00,10,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 10:00:00,10,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 10:00:00,10,0,0,False,False,False,False,True,False,False,True,1
2025-10-27 10:00:00,10,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 10:00:00,10,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 10:00:00,10,0,0,False,False,True,False,False,False,True,False,0
2025-10-27 10:00:00,10,0,0,False,False,False,True,False,False,False,True,0
2025-10-27 10:00:00,10,0,0,False,False,False,False,True,False,False,True,1
2025-10-27 10:00:00,10,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 10:00:00,10,0,0,False,True,False,False,False,False,True,False,0
2025-10-27 11:00:00,11,0,0,True,False,False,False,False,True,False,False,0
2025-10-27 11:00:00,11,0,0,False,False,True,False,False,False,True,False,0
